;2021;2022;2023;2024;2025;LTM
Дата отчета;30.06.2023;30.06.2023;05.06.2024;22.04.2025;27.04.2026;16.09.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB
Контракты на продажу руб, млрд руб;;;;31.2;45.9;
Продажи недвижимости, тыс.м2;;;;122;220;
Доля ипотечных сделок, %;;;;66.0%;69.0%;
Средняя цена квадратного метра, тыс.руб/м2;;;;256;214;
Выручка, млрд руб;6.89;5.45;13.7;32.6;41.3;38.4
Операционная прибыль, млрд руб;0.338;-0.269;3.63;8.77;11.4;11.3
EBITDA, млрд руб;0.387;-0.210;3.76;8.89;14.1;11.8
Чистая прибыль, млрд руб;-0.148;-1.10;0.503;1.22;3.07;2.93
Операционный денежный поток, млрд руб;-9.34;-11.4;-16.5;-0.784;-19.0;8.94
CAPEX, млрд руб;0.017;0.023;0.012;0.388;0.458;0.455
FCF, млрд руб;-7.56;-14.4;-17.2;-3.26;-21.0;6.02
Див доход, ао, %;;;;;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;1.32;2.04;2.55;5.22;5.27;5.55
Себестоимость, млрд руб;4.79;3.31;7.61;19.7;26.5;23.8
Амортизация, млрд руб;0.0;0.1;0.1;0.1;0.2;0.2
Расх на персонал, млрд руб;0.443;0.573;0.553;1.14;1.49;1.26
Процентные расходы, млрд руб;0.687;1.11;3.16;7.83;8.57;8.65
Активы, млрд руб;16.5;32.9;60.5;75.2;110.0;95.6
Чистые активы, млрд руб;1.41;2.12;1.06;2.28;7.16;4.61
Долг, млрд руб;10.5;25.2;44.2;52.4;89.9;44.7
Наличность, млрд руб;4.82;14.5;26.0;18.7;41.0;26.7
Чистый долг, млрд руб;5.67;10.7;18.2;33.7;48.9;18.0
Цена акции ао, руб;;;;;58.3;61.3
Капитализация, млрд руб;0.00;0.00;0.00;0.00;16.5;0.00
EV, млрд руб;5.67;10.7;18.2;33.7;65.4;18.0
Баланс стоимость, млрд руб;1.39;2.09;1.03;2.04;6.80;4.37
Рентаб EBITDA, %;5.6%;-3.9%;27.4%;27.3%;34.0%;30.7%
Чистая рентаб, %;-2.1%;-20.2%;3.7%;3.7%;7.4%;7.6%
Доходность FCF, %;;;;;-127.0%;0.0%
ROE, %;-10.5%;-51.8%;47.6%;53.6%;42.9%;63.5%
ROA, %;-0.9%;-3.3%;0.8%;1.6%;2.8%;3.1%
P/E;0.00;0.00;0.00;0.00;5.38;0.00
P/FCF;0.00;0.00;0.00;0.00;-0.79;0.00
P/S;0.00;0.00;0.00;0.00;0.40;0.00
P/BV;0.00;0.00;0.00;0.00;2.43;0.00
EV/EBITDA;14.7;-50.9;4.85;3.78;4.66;1.53
Долг/EBITDA;14.7;-50.9;4.85;3.78;3.48;1.53
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;0%;1%;1%;1%
Контракты на продажу м , тыс.м2;;;;;;
Число акций ао , млн;;;;;282.8;
Free Float , %;;;;;10.1%;
EPS , руб;;;;;10.9;
FCF/акцию , руб;;;;;-74.1;
BV/акцию , руб;;;;;24.1;
